Datetime,Symbol,Buy/Sell,Quantity,Price,Profit/loss
2020-05-30 15:27:53,ETHUSDT,Buy,0.85605,233.63,0
2020-05-30 15:28:05,ETHUSDT,Sell,0.8551,233.91,0.23942800000000097
2020-05-30 16:10:22,ETHUSDT,Buy,0.85211,234.71,0
2020-10-21 15:13:17,ETHUSDT,Buy,0.52812,378.7,0
2020-10-21 15:13:40,ETHUSDT,Sell,0.52753,378.79,0.0474777000000168
2020-10-21 15:56:11,ETHUSDT,Buy,0.52666,379.75,0
2020-10-21 15:56:25,ETHUSDT,Sell,0.52608,379.78,0.015782399999985645
2020-10-21 16:15:08,ETHUSDT,Buy,0.52537,380.68,0
2020-10-21 16:17:29,ETHUSDT,Buy,0.52609,380.16,0
2020-10-21 16:17:41,ETHUSDT,Sell,0.52551,380.17,0.005255099999995221
2020-10-21 16:19:46,ETHUSDT,Buy,0.52712,379.42,0
2020-10-21 16:20:09,ETHUSDT,Sell,0.52654,379.7,0.14743119999998563
